type,public,latitude,longitude,city,province,region,geometry
unknown,NA,50.8428222,4.3843075,Brussel,Brussels,Brussels,POINT (4.3843075 50.8428222)
unknown,NA,50.8830175,4.3331515,Brussel,Brussels,Brussels,POINT (4.3331515 50.8830175)
unknown,NA,50.8802534,4.3250605,Brussel,Brussels,Brussels,POINT (4.3250605 50.8802534)
unknown,NA,50.8747739,4.3314996,Brussel,Brussels,Brussels,POINT (4.3314996 50.8747739)
unknown,NA,50.832142,4.3274689,Brussel,Brussels,Brussels,POINT (4.3274689 50.832142)
unknown,NA,50.8407211,4.4634331,Bruxelles,Brussels,Brussels,POINT (4.4634331 50.8407211)
unknown,NA,50.8418101,4.3856343,Brussel,Brussels,Brussels,POINT (4.3856343 50.8418101)
unknown,NA,50.8839685,4.419164,Bruxelles,Brussels,Brussels,POINT (4.419164 50.8839685)
unknown,NA,50.8594222,4.3430131,Bruxelles,Brussels,Brussels,POINT (4.3430131 50.8594222)
unknown,NA,50.8584725,4.3446113,Bruxelles,Brussels,Brussels,POINT (4.3446113 50.8584725)
unknown,NA,50.8546109,4.3606333,Bruxelles,Brussels,Brussels,POINT (4.3606333 50.8546109)
unknown,NA,50.8089077,4.4427327,Bruxelles,Brussels,Brussels,POINT (4.4427327 50.8089077)
unknown,NA,50.8518235,4.4585739,Bruxelles,Brussels,Brussels,POINT (4.4585739 50.8518235)
unknown,NA,50.8156443,4.2988265,Bruxelles,Brussels,Brussels,POINT (4.2988265 50.8156443)
unknown,NA,50.8444908,4.4044807,Brussel,Brussels,Brussels,POINT (4.4044807 50.8444908)
unknown,NA,50.8575909,4.4311816,Brussel,Brussels,Brussels,POINT (4.4311816 50.8575909)
unknown,NA,50.8218516,4.2859151,Bruxelles,Brussels,Brussels,POINT (4.2859151 50.8218516)
unknown,NA,50.8558237,4.3197936,Bruxelles,Brussels,Brussels,POINT (4.3197936 50.8558237)
unknown,NA,50.8131772,4.4310924,Bruxelles,Brussels,Brussels,POINT (4.4310924 50.8131772)
unknown,NA,50.802923,4.425917,Bruxelles,Brussels,Brussels,POINT (4.425917 50.802923)
unknown,NA,50.8394589,4.3658784,Bruxelles,Brussels,Brussels,POINT (4.3658784 50.8394589)
unknown,NA,50.8569722,4.4333853,Bruxelles,Brussels,Brussels,POINT (4.4333853 50.8569722)
unknown,NA,50.8421753,4.3654463,Bruxelles,Brussels,Brussels,POINT (4.3654463 50.8421753)
unknown,NA,50.8327189,4.3755911,Bruxelles,Brussels,Brussels,POINT (4.3755911 50.8327189)
unknown,NA,50.8840279,4.3085759,Brussel,Brussels,Brussels,POINT (4.3085759 50.8840279)
unknown,NA,50.8441082,4.3705978,Bruxelles,Brussels,Brussels,POINT (4.3705978 50.8441082)
unknown,NA,50.8483376,4.3629957,Bruxelles,Brussels,Brussels,POINT (4.3629957 50.8483376)
unknown,1,50.8421969,4.3862505,Bruxelles,Brussels,Brussels,POINT (4.3862505 50.8421969)
unknown,NA,50.8419112,4.3744654,Bruxelles,Brussels,Brussels,POINT (4.3744654 50.8419112)
unknown,1,50.8308094,4.4555032,Bruxelles,Brussels,Brussels,POINT (4.4555032 50.8308094)
unknown,1,50.8410236,4.4362077,Bruxelles,Brussels,Brussels,POINT (4.4362077 50.8410236)
unknown,1,50.8631617,4.3522673,Bruxelles,Brussels,Brussels,POINT (4.3522673 50.8631617)
unknown,NA,50.8580469,4.3564694,Bruxelles,Brussels,Brussels,POINT (4.3564694 50.8580469)
unknown,NA,50.8403428,4.3586284,Bruxelles,Brussels,Brussels,POINT (4.3586284 50.8403428)
unknown,NA,50.8390151,4.3568794,Brussel,Brussels,Brussels,POINT (4.3568794 50.8390151)
unknown,NA,50.8400335,4.3582917,Brussel,Brussels,Brussels,POINT (4.3582917 50.8400335)
unknown,NA,50.8368348,4.4271218,Bruxelles,Brussels,Brussels,POINT (4.4271218 50.8368348)
unknown,NA,50.8171763,4.3723785,Bruxelles,Brussels,Brussels,POINT (4.3723785 50.8171763)
unknown,1,50.8445152,4.3819339,Bruxelles,Brussels,Brussels,POINT (4.3819339 50.8445152)
unknown,NA,50.8279365,4.3555872,Bruxelles,Brussels,Brussels,POINT (4.3555872 50.8279365)
unknown,NA,50.8565062,4.3594062,Brussel,Brussels,Brussels,POINT (4.3594062 50.8565062)
unknown,NA,50.8530024,4.3678892,Brussel,Brussels,Brussels,POINT (4.3678892 50.8530024)
unknown,NA,50.8532305,4.3624512,Brussel,Brussels,Brussels,POINT (4.3624512 50.8532305)
unknown,1,50.8094314,4.3086447,Bruxelles,Brussels,Brussels,POINT (4.3086447 50.8094314)
unknown,NA,50.8551561,4.3579305,Bruxelles,Brussels,Brussels,POINT (4.3579305 50.8551561)
unknown,NA,50.8265594,4.3651229,Brussel,Brussels,Brussels,POINT (4.3651229 50.8265594)
mobile,1,50.8389422,4.3635462,Bruxelles,Brussels,Brussels,POINT (4.3635462 50.8389422)
unknown,NA,50.8476424,4.3571696,Bruxelles,Brussels,Brussels,POINT (4.3571696 50.8476424)
unknown,1,50.8659203,4.351108,Brussel,Brussels,Brussels,POINT (4.351108 50.8659203)
unknown,NA,50.8522908,4.4418013,Bruxelles,Brussels,Brussels,POINT (4.4418013 50.8522908)
unknown,NA,50.8051035,4.3484203,Bruxelles,Brussels,Brussels,POINT (4.3484203 50.8051035)
unknown,NA,50.8511849,4.3601417,Bruxelles,Brussels,Brussels,POINT (4.3601417 50.8511849)
unknown,NA,50.8554623,4.444728,Bruxelles,Brussels,Brussels,POINT (4.444728 50.8554623)
unknown,1,50.7995032,4.358629,Bruxelles,Brussels,Brussels,POINT (4.358629 50.7995032)
unknown,NA,50.8269853,4.382819,Bruxelles,Brussels,Brussels,POINT (4.382819 50.8269853)
unknown,1,50.8931955,4.3372392,Bruxelles,Brussels,Brussels,POINT (4.3372392 50.8931955)
unknown,NA,50.8439759,4.3583342,Bruxelles,Brussels,Brussels,POINT (4.3583342 50.8439759)
unknown,1,50.8581352,4.4436976,Bruxelles,Brussels,Brussels,POINT (4.4436976 50.8581352)
unknown,0,50.8581352,4.4436976,Bruxelles,Brussels,Brussels,POINT (4.4436976 50.8581352)
unknown,NA,50.8511516,4.3696368,Bruxelles,Brussels,Brussels,POINT (4.3696368 50.8511516)
unknown,NA,50.8286387,4.4494347,Bruxelles,Brussels,Brussels,POINT (4.4494347 50.8286387)
unknown,NA,50.8451239,4.3773479,Brussel,Brussels,Brussels,POINT (4.3773479 50.8451239)
unknown,NA,50.8385859,4.400301,Bruxelles,Brussels,Brussels,POINT (4.400301 50.8385859)
unknown,1,50.842973,4.3588891,Brussel,Brussels,Brussels,POINT (4.3588891 50.842973)
unknown,1,50.841393,4.3904833,Brussel,Brussels,Brussels,POINT (4.3904833 50.841393)
unknown,NA,50.8508385,4.3583306,Brussel,Brussels,Brussels,POINT (4.3583306 50.8508385)
