type,public,latitude,longitude,city,province,region,geometry
unknown,NA,50.4427249,4.4370311,Jumet,Hainaut,Wallonia,POINT (4.4370311 50.4427249)
unknown,1,50.4131291,4.4010831,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.4010831 50.4131291)
unknown,NA,50.4080677,4.4183667,MARCHIENNE-AU-PONT,Hainaut,Wallonia,POINT (4.4183667 50.4080677)
unknown,NA,50.4080677,4.4183667,MARCHIENNE-AU-PONT,Hainaut,Wallonia,POINT (4.4183667 50.4080677)
fix,0,50.4246496,4.4436316,Lodelinsart,Hainaut,Wallonia,POINT (4.4436316 50.4246496)
unknown,0,50.4241334,4.4438595,Charleroi,Hainaut,Wallonia,POINT (4.4438595 50.4241334)
fix,0,50.4246496,4.4436316,Lodelinsart,Hainaut,Wallonia,POINT (4.4436316 50.4246496)
unknown,0,50.4241334,4.4438595,CHARLEROI,Hainaut,Wallonia,POINT (4.4438595 50.4241334)
unknown,NA,50.4063722,4.4082402,MARCHIENNE-AU-PONT,Hainaut,Wallonia,POINT (4.4082402 50.4063722)
unknown,0,50.4045639,4.4157871,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.4157871 50.4045639)
unknown,1,50.4044476,4.4485016,Marcinelle,Hainaut,Wallonia,POINT (4.4485016 50.4044476)
unknown,1,50.4071145,4.446839,Charleroi,Hainaut,Wallonia,POINT (4.446839 50.4071145)
unknown,NA,50.4116556,4.5257157,Châtelet,Hainaut,Wallonia,POINT (4.5257157 50.4116556)
unknown,NA,50.4116556,4.5257157,Châtelet,Hainaut,Wallonia,POINT (4.5257157 50.4116556)
unknown,1,50.4134312,4.4048958,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.4048958 50.4134312)
unknown,0,50.4044352,4.428289,Charleroi,Hainaut,Wallonia,POINT (4.428289 50.4044352)
unknown,NA,50.4053578,4.4391329,Charleroi,Hainaut,Wallonia,POINT (4.4391329 50.4053578)
unknown,NA,50.3830218,4.4802032,Couillet,Hainaut,Wallonia,POINT (4.4802032 50.3830218)
unknown,1,50.401737,4.4172949,MONT-SUR-MARCHIENNE,Hainaut,Wallonia,POINT (4.4172949 50.401737)
unknown,NA,50.4687201,4.4319559,Gosselies,Hainaut,Wallonia,POINT (4.4319559 50.4687201)
unknown,NA,50.3778052,4.4549452,Marcinelle,Hainaut,Wallonia,POINT (4.4549452 50.3778052)
unknown,NA,50.4055525,4.4395629,Charleroi,Hainaut,Wallonia,POINT (4.4395629 50.4055525)
unknown,NA,50.4053578,4.4391329,Charleroi,Hainaut,Wallonia,POINT (4.4391329 50.4053578)
unknown,NA,50.4740908,4.4665219,Gosselies,Hainaut,Wallonia,POINT (4.4665219 50.4740908)
unknown,NA,50.4124322,4.4616886,Montignies-sur-Sambre,Hainaut,Wallonia,POINT (4.4616886 50.4124322)
unknown,NA,50.3767985,4.4368583,Marcinelle,Hainaut,Wallonia,POINT (4.4368583 50.3767985)
unknown,NA,50.414916,4.5185215,Châtelineau,Hainaut,Wallonia,POINT (4.5185215 50.414916)
unknown,NA,50.4464741,4.4769597,Ransart,Hainaut,Wallonia,POINT (4.4769597 50.4464741)
unknown,NA,50.4054634,4.5245366,Châtelet,Hainaut,Wallonia,POINT (4.5245366 50.4054634)
unknown,NA,50.4230453,4.3962239,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.3962239 50.4230453)
unknown,NA,50.4831132,4.4515616,Gosselies,Hainaut,Wallonia,POINT (4.4515616 50.4831132)
unknown,NA,50.4087317,4.480657,Montignies-sur-Sambre,Hainaut,Wallonia,POINT (4.480657 50.4087317)
unknown,NA,50.3980316,4.5315012,Châtelet,Hainaut,Wallonia,POINT (4.5315012 50.3980316)
unknown,NA,50.4271475,4.4545161,Charleroi,Hainaut,Wallonia,POINT (4.4545161 50.4271475)
unknown,NA,50.4272646,4.4419197,Lodelinsart,Hainaut,Wallonia,POINT (4.4419197 50.4272646)
unknown,NA,50.4272646,4.4419197,Charleroi,Hainaut,Wallonia,POINT (4.4419197 50.4272646)
unknown,NA,50.4126677,4.3758459,Monceau-sur-Sambre,Hainaut,Wallonia,POINT (4.3758459 50.4126677)
unknown,NA,50.3712595,4.4136791,Mont-sur-Marchienne,Hainaut,Wallonia,POINT (4.4136791 50.3712595)
unknown,NA,50.4259349,4.4567497,Charleroi,Hainaut,Wallonia,POINT (4.4567497 50.4259349)
unknown,NA,50.4065804,4.4450322,Monceau-sur-Sambre,Hainaut,Wallonia,POINT (4.4450322 50.4065804)
unknown,NA,50.4246411,4.4466676,Charleroi,Hainaut,Wallonia,POINT (4.4466676 50.4246411)
unknown,NA,50.4246411,4.4466676,Charleroi,Hainaut,Wallonia,POINT (4.4466676 50.4246411)
unknown,NA,50.3947478,4.4117901,Mont-sur-Marchienne,Hainaut,Wallonia,POINT (4.4117901 50.3947478)
unknown,NA,50.4267447,4.4149069,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.4149069 50.4267447)
unknown,NA,50.4228037,4.4150568,Marchienne-au-Pont,Hainaut,Wallonia,POINT (4.4150568 50.4228037)
unknown,NA,50.4272646,4.4419197,Lodelinsart,Hainaut,Wallonia,POINT (4.4419197 50.4272646)
unknown,NA,50.4496176,4.4749805,Ransart,Hainaut,Wallonia,POINT (4.4749805 50.4496176)
unknown,NA,50.4277283,4.4776437,GillyCharleroi),Hainaut,Wallonia,POINT (4.4776437 50.4277283)
unknown,NA,50.4760543,4.4283492,Gosselies,Hainaut,Wallonia,POINT (4.4283492 50.4760543)
unknown,NA,50.4580051,4.4587209,JumetCharleroi),Hainaut,Wallonia,POINT (4.4587209 50.4580051)
unknown,NA,50.4523498,4.4355377,Gosselies,Hainaut,Wallonia,POINT (4.4355377 50.4523498)
unknown,NA,50.3993105,4.5012108,Châtelet,Hainaut,Wallonia,POINT (4.5012108 50.3993105)
unknown,NA,50.3998166,4.5151807,Châtelet,Hainaut,Wallonia,POINT (4.5151807 50.3998166)
unknown,NA,50.3943443,4.4595731,Charleroi,Hainaut,Wallonia,POINT (4.4595731 50.3943443)
unknown,NA,50.4468579,4.4063066,JumetCharleroi),Hainaut,Wallonia,POINT (4.4063066 50.4468579)
unknown,NA,50.4061982,4.4446076,Charleroi,Hainaut,Wallonia,POINT (4.4446076 50.4061982)
unknown,NA,50.3790575,4.4371912,Marcinelle,Hainaut,Wallonia,POINT (4.4371912 50.3790575)
unknown,NA,50.4704643,4.4371818,Gosselies,Hainaut,Wallonia,POINT (4.4371818 50.4704643)
unknown,NA,50.4191588,4.4529981,Charleroi,Hainaut,Wallonia,POINT (4.4529981 50.4191588)
unknown,NA,50.3854399,4.4766758,Couillet,Hainaut,Wallonia,POINT (4.4766758 50.3854399)
unknown,NA,50.3833006,4.4798678,Couillet,Hainaut,Wallonia,POINT (4.4798678 50.3833006)
unknown,NA,50.4132309,4.4367869,Dampremy,Hainaut,Wallonia,POINT (4.4367869 50.4132309)
unknown,NA,50.3734076,4.4568504,Charleroi,Hainaut,Wallonia,POINT (4.4568504 50.3734076)
unknown,NA,50.40998,4.43726,Charleroi,Hainaut,Wallonia,POINT (4.43726 50.40998)
unknown,NA,50.4721952,4.4709082,Gosselies,Hainaut,Wallonia,POINT (4.4709082 50.4721952)
unknown,NA,50.4140663,4.4492876,Charleroi,Hainaut,Wallonia,POINT (4.4492876 50.4140663)
unknown,NA,50.45302,4.4554108,JumetCharleroi),Hainaut,Wallonia,POINT (4.4554108 50.45302)
