type,public,latitude,longitude,city,province,region,geometry
unknown,NA,51.0102471,3.7021131,Gent,East Flanders,Flanders,POINT (3.7021131 51.0102471)
unknown,NA,51.0390299,3.7237006,Gent,East Flanders,Flanders,POINT (3.7237006 51.0390299)
unknown,NA,51.0390299,3.7237006,Gent,East Flanders,Flanders,POINT (3.7237006 51.0390299)
unknown,NA,51.0390299,3.7237006,Gent,East Flanders,Flanders,POINT (3.7237006 51.0390299)
unknown,NA,51.0390299,3.7237006,Gent,East Flanders,Flanders,POINT (3.7237006 51.0390299)
unknown,NA,51.0390299,3.7237006,Gent,East Flanders,Flanders,POINT (3.7237006 51.0390299)
unknown,1,51.0514307,3.7298697,Gent,East Flanders,Flanders,POINT (3.7298697 51.0514307)
unknown,0,51.0682262,3.7237232,Gent,East Flanders,Flanders,POINT (3.7237232 51.0682262)
unknown,NA,51.0576658,3.7394562,Gent,East Flanders,Flanders,POINT (3.7394562 51.0576658)
unknown,NA,51.0262471,3.7339882,Gent,East Flanders,Flanders,POINT (3.7339882 51.0262471)
unknown,1,51.0476974,3.7278657,Gent,East Flanders,Flanders,POINT (3.7278657 51.0476974)
unknown,1,51.0476974,3.7278657,Gent,East Flanders,Flanders,POINT (3.7278657 51.0476974)
unknown,NA,51.0617288,3.730735,Gent,East Flanders,Flanders,POINT (3.730735 51.0617288)
unknown,NA,51.051156,3.702072,Gent,East Flanders,Flanders,POINT (3.702072 51.051156)
unknown,1,51.097209,3.7288741,Gent,East Flanders,Flanders,POINT (3.7288741 51.097209)
unknown,1,51.097209,3.7288741,Gent,East Flanders,Flanders,POINT (3.7288741 51.097209)
unknown,NA,51.1293861,3.7655309,Gent,East Flanders,Flanders,POINT (3.7655309 51.1293861)
unknown,NA,51.0950644,3.7269336,Gent,East Flanders,Flanders,POINT (3.7269336 51.0950644)
unknown,NA,51.0168325,3.7208462,Gent,East Flanders,Flanders,POINT (3.7208462 51.0168325)
unknown,NA,51.0168325,3.7208462,GENT,East Flanders,Flanders,POINT (3.7208462 51.0168325)
unknown,1,51.0367958,3.7361547,Ledeberg,East Flanders,Flanders,POINT (3.7361547 51.0367958)
unknown,1,51.0367958,3.7361547,Ledeberg,East Flanders,Flanders,POINT (3.7361547 51.0367958)
unknown,1,51.0405821,3.7525239,Gent,East Flanders,Flanders,POINT (3.7525239 51.0405821)
unknown,NA,51.0483706,3.7298018,Gent,East Flanders,Flanders,POINT (3.7298018 51.0483706)
unknown,NA,51.0989407,3.710053,Wondelgem,East Flanders,Flanders,POINT (3.710053 51.0989407)
unknown,NA,51.0168325,3.7208462,Gent,East Flanders,Flanders,POINT (3.7208462 51.0168325)
unknown,NA,51.0168325,3.7208462,GENT,East Flanders,Flanders,POINT (3.7208462 51.0168325)
unknown,NA,51.097979,3.7515869,Gent,East Flanders,Flanders,POINT (3.7515869 51.097979)
unknown,1,51.0256872,3.6907672,Gent,East Flanders,Flanders,POINT (3.6907672 51.0256872)
unknown,NA,51.0234778,3.6988929,Sint-Denijs-Westrem,East Flanders,Flanders,POINT (3.6988929 51.0234778)
unknown,NA,51.0097335,3.7126222,Gent,East Flanders,Flanders,POINT (3.7126222 51.0097335)
unknown,1,51.0522969,3.723969,Gent,East Flanders,Flanders,POINT (3.723969 51.0522969)
unknown,NA,51.0447687,3.731549,GENT,East Flanders,Flanders,POINT (3.731549 51.0447687)
unknown,NA,51.0499226,3.7238132,GENT,East Flanders,Flanders,POINT (3.7238132 51.0499226)
unknown,NA,51.0867765,3.7906849,Oostakker,East Flanders,Flanders,POINT (3.7906849 51.0867765)
unknown,1,51.1511884,3.7868183,Sint-Kruis-Winkel,East Flanders,Flanders,POINT (3.7868183 51.1511884)
unknown,NA,51.0185844,3.6742272,Gent,East Flanders,Flanders,POINT (3.6742272 51.0185844)
unknown,1,51.0396535,3.6995557,Gent,East Flanders,Flanders,POINT (3.6995557 51.0396535)
unknown,NA,51.1148769,3.7832186,Desteldonk,East Flanders,Flanders,POINT (3.7832186 51.1148769)
unknown,1,51.0746671,3.7247511,Gent,East Flanders,Flanders,POINT (3.7247511 51.0746671)
unknown,NA,51.0159871,3.669607,Sint-Denijs-Westrem,East Flanders,Flanders,POINT (3.669607 51.0159871)
unknown,NA,51.0748547,3.7772584,Oostakker,East Flanders,Flanders,POINT (3.7772584 51.0748547)
unknown,NA,51.0870923,3.7812385,GENT,East Flanders,Flanders,POINT (3.7812385 51.0870923)
unknown,NA,51.0870923,3.7812385,GENT,East Flanders,Flanders,POINT (3.7812385 51.0870923)
unknown,NA,51.036234,3.7108572,Gent,East Flanders,Flanders,POINT (3.7108572 51.036234)
unknown,NA,51.0399748,3.7312365,Gent,East Flanders,Flanders,POINT (3.7312365 51.0399748)
unknown,NA,51.0484641,3.7213262,Gent,East Flanders,Flanders,POINT (3.7213262 51.0484641)
unknown,NA,51.0545011,3.7237342,Gent,East Flanders,Flanders,POINT (3.7237342 51.0545011)
unknown,NA,51.0759653,3.7442335,Gent,East Flanders,Flanders,POINT (3.7442335 51.0759653)
unknown,NA,51.0529341,3.7260297,Gent,East Flanders,Flanders,POINT (3.7260297 51.0529341)
unknown,NA,51.0406619,3.6960308,Gent,East Flanders,Flanders,POINT (3.6960308 51.0406619)
unknown,NA,51.0406619,3.6960308,GENT,East Flanders,Flanders,POINT (3.6960308 51.0406619)
unknown,NA,51.0619224,3.7313715,Gent,East Flanders,Flanders,POINT (3.7313715 51.0619224)
unknown,NA,51.0272083,3.6851527,Gent,East Flanders,Flanders,POINT (3.6851527 51.0272083)
unknown,NA,51.0508069,3.7225753,Gent,East Flanders,Flanders,POINT (3.7225753 51.0508069)
unknown,NA,51.086781,3.7034955,Wondelgem,East Flanders,Flanders,POINT (3.7034955 51.086781)
unknown,NA,51.0563927,3.715078,Gent,East Flanders,Flanders,POINT (3.715078 51.0563927)
unknown,NA,51.0374978,3.7357255,Gent,East Flanders,Flanders,POINT (3.7357255 51.0374978)
unknown,NA,51.0726243,3.7372878,Gent,East Flanders,Flanders,POINT (3.7372878 51.0726243)
unknown,NA,51.0306561,3.7526974,Gentbrugge,East Flanders,Flanders,POINT (3.7526974 51.0306561)
unknown,NA,51.0261786,3.7305051,Gent,East Flanders,Flanders,POINT (3.7305051 51.0261786)
unknown,NA,51.0794162,3.7495151,Gent,East Flanders,Flanders,POINT (3.7495151 51.0794162)
unknown,NA,51.0497657,3.7177607,Gent,East Flanders,Flanders,POINT (3.7177607 51.0497657)
unknown,NA,51.0557483,3.7540626,Sint-Amandsberg,East Flanders,Flanders,POINT (3.7540626 51.0557483)
unknown,NA,51.0560241,3.7323028,Gent,East Flanders,Flanders,POINT (3.7323028 51.0560241)
unknown,NA,51.0408287,3.7307395,Gent,East Flanders,Flanders,POINT (3.7307395 51.0408287)
unknown,NA,51.1193475,3.7764133,Desteldonk,East Flanders,Flanders,POINT (3.7764133 51.1193475)
unknown,NA,51.1193475,3.7764133,Desteldonk,East Flanders,Flanders,POINT (3.7764133 51.1193475)
unknown,NA,51.0855333,3.7303873,Gent,East Flanders,Flanders,POINT (3.7303873 51.0855333)
unknown,NA,51.0475721,3.6941863,Gent,East Flanders,Flanders,POINT (3.6941863 51.0475721)
unknown,NA,51.0258988,3.6896353,Sint-Denijs-Westrem,East Flanders,Flanders,POINT (3.6896353 51.0258988)
unknown,NA,51.0300038,3.7370894,Gent,East Flanders,Flanders,POINT (3.7370894 51.0300038)
unknown,NA,51.0468521,3.7106571,Gent,East Flanders,Flanders,POINT (3.7106571 51.0468521)
unknown,1,51.0490122,3.7235158,Gent,East Flanders,Flanders,POINT (3.7235158 51.0490122)
unknown,NA,51.0029871,3.7108178,Zwijnaarde,East Flanders,Flanders,POINT (3.7108178 51.0029871)
unknown,NA,51.0475721,3.6941863,Gent,East Flanders,Flanders,POINT (3.6941863 51.0475721)
unknown,NA,51.0198262,3.7089347,Gent,East Flanders,Flanders,POINT (3.7089347 51.0198262)
unknown,NA,51.092753,3.7648348,Oostakker,East Flanders,Flanders,POINT (3.7648348 51.092753)
unknown,NA,51.0359791,3.7282618,Gent,East Flanders,Flanders,POINT (3.7282618 51.0359791)
unknown,NA,51.0591337,3.6916854,Gent,East Flanders,Flanders,POINT (3.6916854 51.0591337)
unknown,NA,51.0535568,3.7339794,Gent,East Flanders,Flanders,POINT (3.7339794 51.0535568)
unknown,NA,51.0751437,3.7148954,Gent,East Flanders,Flanders,POINT (3.7148954 51.0751437)
unknown,NA,51.0886564,3.7035591,Wondelgem,East Flanders,Flanders,POINT (3.7035591 51.0886564)
unknown,NA,51.049529,3.6848588,Gent,East Flanders,Flanders,POINT (3.6848588 51.049529)
fix,0,51.0478556,3.7061731,Gent,East Flanders,Flanders,POINT (3.7061731 51.0478556)
unknown,NA,51.0478556,3.7061731,Gent,East Flanders,Flanders,POINT (3.7061731 51.0478556)
unknown,NA,51.0412947,3.7520395,Gentbrugge,East Flanders,Flanders,POINT (3.7520395 51.0412947)
unknown,NA,51.1029336,3.7579813,Gent,East Flanders,Flanders,POINT (3.7579813 51.1029336)
unknown,NA,51.0744168,3.7233032,Gent,East Flanders,Flanders,POINT (3.7233032 51.0744168)
unknown,NA,51.0492694,3.7127408,Gent,East Flanders,Flanders,POINT (3.7127408 51.0492694)
unknown,NA,51.0367241,3.7081737,Gent,East Flanders,Flanders,POINT (3.7081737 51.0367241)
unknown,NA,51.0398181,3.5974346,Drongen,East Flanders,Flanders,POINT (3.5974346 51.0398181)
unknown,NA,51.0512841,3.7214345,Gent,East Flanders,Flanders,POINT (3.7214345 51.0512841)
unknown,NA,51.0475102,3.7153208,Gent,East Flanders,Flanders,POINT (3.7153208 51.0475102)
unknown,NA,51.0073493,3.7121885,Zwijnaarde,East Flanders,Flanders,POINT (3.7121885 51.0073493)
unknown,NA,51.0129205,3.7137728,Zwijnaarde,East Flanders,Flanders,POINT (3.7137728 51.0129205)
unknown,NA,51.0086386,3.7105929,Zwijnaarde,East Flanders,Flanders,POINT (3.7105929 51.0086386)
unknown,NA,51.0403342,3.5926545,Drongen,East Flanders,Flanders,POINT (3.5926545 51.0403342)
unknown,NA,51.0443816,3.718747,Gent,East Flanders,Flanders,POINT (3.718747 51.0443816)
unknown,NA,51.0403342,3.5926545,Drongen,East Flanders,Flanders,POINT (3.5926545 51.0403342)
unknown,NA,51.1457473,3.8021618,Gent,East Flanders,Flanders,POINT (3.8021618 51.1457473)
unknown,NA,51.046071,3.7268916,Gent,East Flanders,Flanders,POINT (3.7268916 51.046071)
unknown,NA,51.0480006,3.6925469,Gent,East Flanders,Flanders,POINT (3.6925469 51.0480006)
unknown,NA,51.0375015,3.7484305,LedebergGent),East Flanders,Flanders,POINT (3.7484305 51.0375015)
unknown,NA,51.0414295,3.7283772,Gent,East Flanders,Flanders,POINT (3.7283772 51.0414295)
unknown,NA,51.0215583,3.6866691,Gent,East Flanders,Flanders,POINT (3.6866691 51.0215583)
unknown,NA,51.0676168,3.7046058,Gent,East Flanders,Flanders,POINT (3.7046058 51.0676168)
unknown,NA,51.030804,3.767053,Gentbrugge,East Flanders,Flanders,POINT (3.767053 51.030804)
unknown,NA,51.0856653,3.7019929,Wondelgem,East Flanders,Flanders,POINT (3.7019929 51.0856653)
unknown,NA,51.0468099,3.6924154,Gent,East Flanders,Flanders,POINT (3.6924154 51.0468099)
unknown,NA,51.049529,3.6848588,Gent,East Flanders,Flanders,POINT (3.6848588 51.049529)
unknown,NA,51.114298,3.7732944,Desteldonk,East Flanders,Flanders,POINT (3.7732944 51.114298)
unknown,NA,51.1220868,3.7825691,Desteldonk,East Flanders,Flanders,POINT (3.7825691 51.1220868)
unknown,NA,51.0621128,3.7236506,Gent,East Flanders,Flanders,POINT (3.7236506 51.0621128)
unknown,NA,51.0646686,3.7252473,Gent,East Flanders,Flanders,POINT (3.7252473 51.0646686)
unknown,NA,51.13162,3.7932168,Gent,East Flanders,Flanders,POINT (3.7932168 51.13162)
unknown,NA,51.0466185,3.7104287,Gent,East Flanders,Flanders,POINT (3.7104287 51.0466185)
unknown,NA,51.0045568,3.7247185,Zwijnaarde,East Flanders,Flanders,POINT (3.7247185 51.0045568)
unknown,NA,51.055137,3.6902352,Gent,East Flanders,Flanders,POINT (3.6902352 51.055137)
unknown,NA,51.0086896,3.7226979,Gent,East Flanders,Flanders,POINT (3.7226979 51.0086896)
unknown,NA,51.0678307,3.7290914,Gent,East Flanders,Flanders,POINT (3.7290914 51.0678307)
unknown,NA,51.1457473,3.8021618,Desteldonk,East Flanders,Flanders,POINT (3.8021618 51.1457473)
unknown,NA,51.0825385,3.772017,Oostakker,East Flanders,Flanders,POINT (3.772017 51.0825385)
unknown,NA,51.1151688,3.7847173,Gent-Zeehaven,East Flanders,Flanders,POINT (3.7847173 51.1151688)
unknown,NA,51.0682262,3.7237232,Gent,East Flanders,Flanders,POINT (3.7237232 51.0682262)
unknown,NA,51.0682262,3.7237232,GENT,East Flanders,Flanders,POINT (3.7237232 51.0682262)
unknown,NA,51.0480196,3.730436,Gent,East Flanders,Flanders,POINT (3.730436 51.0480196)
unknown,NA,51.0292391,3.6924659,Afsnee,East Flanders,Flanders,POINT (3.6924659 51.0292391)
unknown,NA,51.0284057,3.7204289,Gent,East Flanders,Flanders,POINT (3.7204289 51.0284057)
unknown,NA,51.0792651,3.789274,OOSTAKKER,East Flanders,Flanders,POINT (3.789274 51.0792651)
unknown,NA,51.0210619,3.7092513,GENT,East Flanders,Flanders,POINT (3.7092513 51.0210619)
unknown,NA,51.036771,3.7345364,LedebergGent),East Flanders,Flanders,POINT (3.7345364 51.036771)
unknown,NA,51.1143743,3.7455558,Gent,East Flanders,Flanders,POINT (3.7455558 51.1143743)
unknown,NA,51.1199697,3.775498,Desteldonk,East Flanders,Flanders,POINT (3.775498 51.1199697)
unknown,NA,51.0774237,3.7414489,Gent,East Flanders,Flanders,POINT (3.7414489 51.0774237)
unknown,1,51.0884432,3.7036275,Gent,East Flanders,Flanders,POINT (3.7036275 51.0884432)
unknown,1,51.0740053,3.7395234,Gent,East Flanders,Flanders,POINT (3.7395234 51.0740053)
unknown,1,51.0056673,3.7262963,Waarschoot,East Flanders,Flanders,POINT (3.7262963 51.0056673)
unknown,1,51.044128,3.5903569,Drongen,East Flanders,Flanders,POINT (3.5903569 51.044128)
unknown,1,51.0288369,3.7240423,Gent,East Flanders,Flanders,POINT (3.7240423 51.0288369)
unknown,1,51.0911267,3.6894771,Wondelgem,East Flanders,Flanders,POINT (3.6894771 51.0911267)
unknown,1,51.0399567,3.6240348,Drongen,East Flanders,Flanders,POINT (3.6240348 51.0399567)
unknown,1,51.0416914,3.6024468,Drongen,East Flanders,Flanders,POINT (3.6024468 51.0416914)
unknown,1,51.0856838,3.7209355,Gent,East Flanders,Flanders,POINT (3.7209355 51.0856838)
unknown,1,51.0618537,3.7215097,Gent,East Flanders,Flanders,POINT (3.7215097 51.0618537)
unknown,1,51.0598617,3.7215648,Gent,East Flanders,Flanders,POINT (3.7215648 51.0598617)
unknown,1,51.0090278,3.7039915,Zwijnaarde,East Flanders,Flanders,POINT (3.7039915 51.0090278)
unknown,1,51.1212652,3.7547905,Evergem,East Flanders,Flanders,POINT (3.7547905 51.1212652)
