"type","latitude","longitude","city","province","region"
"ambulance",51.2155158,4.4437875,"Antwerpen","Antwerp","Flanders"
"ambulance",51.1788314,4.3619482,"Antwerpen","Antwerp","Flanders"
"ambulance",51.2328096,4.377237,"Antwerpen","Antwerp","Flanders"
"ambulance",51.3155156,4.3215063,"Antwerpen","Antwerp","Flanders"
"ambulance",51.2136226,4.4057177,"Antwerpen","Antwerp","Flanders"
"ambulance",51.319819,5.089912,"Arendonk","Antwerp","Flanders"
"ambulance",51.3209834,4.8566561,"Beerse","Antwerp","Flanders"
"ambulance",51.1140555,4.6472462,"Berlaar","Antwerp","Flanders"
"ambulance",51.4646726,4.4725507,"Essen","Antwerp","Flanders"
"ambulance",51.0430641,4.815907,"Herselt","Antwerp","Flanders"
"ambulance",51.3120142,4.4243382,"Kapellen","Antwerp","Flanders"
"ambulance",51.1276472,4.4539147,"Kontich","Antwerp","Flanders"
"ambulance",51.4095824,4.9965793,"Ravels","Antwerp","Flanders"
"ambulance",51.2333921,4.4929328,"Wijnegem","Antwerp","Flanders"
"ambulance",51.2055292,4.6456563,"Zandhoven","Antwerp","Flanders"
"ambulance",50.9072587,4.3923288,"Bruxelles","Brussels","Brussels"
"ambulance",50.8155259,4.3416631,"Forest","Brussels","Brussels"
"ambulance",50.7305766,4.4948658,"La Hulpe","Walloon Brabant","Wallonia"
"ambulance",50.6601956,4.5671377,"Ottignies-Louvain-la-Neuve","Walloon Brabant","Wallonia"
"ambulance",50.5407363,5.2847964,"Amay","Liege","Wallonia"
"ambulance",50.6797955,5.4715356,"Awans","Liege","Wallonia"
"ambulance",50.6635369,5.6889139,"Blégny","Liege","Wallonia"
"ambulance",50.6372979,5.5669785,"Liège","Liege","Wallonia"
"ambulance",50.705059,5.6491165,"Oupeye","Liege","Wallonia"
"ambulance",50.5894263,5.5428587,"Seraing","Liege","Wallonia"
"ambulance",50.4179964,4.4745926,"Charleroi","Hainaut","Wallonia"
"ambulance",50.412614,4.3768883,"Charleroi","Hainaut","Wallonia"
"ambulance",50.4698175,4.1279295,"La Louvière","Hainaut","Wallonia"
"ambulance",50.4910226,3.9336411,"Mons","Hainaut","Wallonia"
"ambulance",50.47713,3.8404351,"Saint-Ghislain","Hainaut","Wallonia"
"ambulance",51.0371352,5.1781604,"Beringen","Limburg","Flanders"
"ambulance",50.8019177,5.3319635,"Borgloon","Limburg","Flanders"
"ambulance",50.8763364,5.6277626,"Lanaken","Limburg","Flanders"
"ambulance",51.132399,5.4425231,"Peer","Limburg","Flanders"
"ambulance",50.4760028,4.8473646,"Namur","Namur","Wallonia"
"ambulance",50.797913,3.7598829,"Brakel","East Flanders","Flanders"
"ambulance",50.9304366,3.6447316,"Gavere","East Flanders","Flanders"
"ambulance",51.0356587,3.7553518,"Gent","East Flanders","Flanders"
"ambulance",51.0926251,4.1319059,"Hamme","East Flanders","Flanders"
"ambulance",51.0977887,3.8304982,"Lochristi","East Flanders","Flanders"
"ambulance",50.9981308,3.7699959,"Merelbeke","East Flanders","Flanders"
"ambulance",50.98233,4.8234189,"Aarschot","Flemish Brabant","Flanders"
"ambulance",50.7434628,4.2404099,"Halle","Flemish Brabant","Flanders"
"ambulance",50.8696549,4.7243436,"Leuven","Flemish Brabant","Flanders"
"ambulance",50.8785355,4.6953981,"Leuven","Flemish Brabant","Flanders"
"ambulance",50.8680038,4.0983199,"Liedekerke","Flemish Brabant","Flanders"
"ambulance",50.9061581,4.8857039,"Tielt-Winge","Flemish Brabant","Flanders"
"ambulance",50.8798215,4.4727595,"Zaventem","Flemish Brabant","Flanders"
"ambulance",50.7786794,3.4490966,"Avelgem","West Flanders","Flanders"
"ambulance",51.0023637,3.3234085,"Tielt","West Flanders","Flanders"
"ambulance",49.9279133,5.3682538,"Libramont-Chevigny","Luxembourg","Wallonia"
"ambulance",51.2053995,4.3971557,"Antwerpen","Antwerp","Flanders"
"ambulance",51.1709534,5.1755429,"Balen","Antwerp","Flanders"
"ambulance",51.0960533,4.3547325,"Boom","Antwerp","Flanders"
"ambulance",51.0838438,4.7363928,"Heist-op-den-Berg","Antwerp","Flanders"
"ambulance",51.1873563,4.8403769,"Herentals","Antwerp","Flanders"
"ambulance",51.3880749,4.7422763,"Hoogstraten","Antwerp","Flanders"
"ambulance",51.383289,4.478244,"Kalmthout","Antwerp","Flanders"
"ambulance",51.301117,4.734865,"Malle","Antwerp","Flanders"
"ambulance",51.1889959,5.0948491,"Mol","Antwerp","Flanders"
"ambulance",51.0773485,4.2973462,"Puurs-Sint-Amands","Antwerp","Flanders"
