type,latitude,longitude,city,province,region,geometry
ambulance,51.2155158,4.4437875,Antwerpen,Antwerp,Flanders,POINT (4.4437875 51.2155158)
ambulance,51.1788314,4.3619482,Antwerpen,Antwerp,Flanders,POINT (4.3619482 51.1788314)
ambulance,51.2328096,4.377237,Antwerpen,Antwerp,Flanders,POINT (4.377237 51.2328096)
ambulance,51.3155156,4.3215063,Antwerpen,Antwerp,Flanders,POINT (4.3215063 51.3155156)
ambulance,51.2136226,4.4057177,Antwerpen,Antwerp,Flanders,POINT (4.4057177 51.2136226)
ambulance,51.2053995,4.3971557,Antwerpen,Antwerp,Flanders,POINT (4.3971557 51.2053995)
ambulance,51.2063667,4.4702018,Antwerpen,Antwerp,Flanders,POINT (4.4702018 51.2063667)
ambulance,51.2588916,4.4513523,Antwerpen,Antwerp,Flanders,POINT (4.4513523 51.2588916)
ambulance,51.1826931,4.4237404,Antwerpen,Antwerp,Flanders,POINT (4.4237404 51.1826931)
ambulance,51.2059492,4.412103,Antwerpen,Antwerp,Flanders,POINT (4.412103 51.2059492)
ambulance,51.222403,4.4351584,Antwerpen,Antwerp,Flanders,POINT (4.4351584 51.222403)
pit,51.2223214,4.4350678,Antwerpen,Antwerp,Flanders,POINT (4.4350678 51.2223214)
mug,51.2313796,4.415252,Antwerpen,Antwerp,Flanders,POINT (4.415252 51.2313796)
mug,51.2058377,4.4125436,Antwerpen,Antwerp,Flanders,POINT (4.4125436 51.2058377)
mug,51.2063667,4.4702018,Antwerpen,Antwerp,Flanders,POINT (4.4702018 51.2063667)
mug,51.1817753,4.4212415,Antwerpen,Antwerp,Flanders,POINT (4.4212415 51.1817753)
mug,51.1744316,4.4179022,Antwerpen,Antwerp,Flanders,POINT (4.4179022 51.1744316)
mug,51.2583231,4.451958,Antwerpen,Antwerp,Flanders,POINT (4.451958 51.2583231)
