type,public,latitude,longitude,city,province,region,geometry
unknown,NA,51.214382,3.196632,Brugge,West Flanders,Flanders,POINT (3.196632 51.214382)
unknown,NA,51.2108863,3.1975164,Sint-Andries,West Flanders,Flanders,POINT (3.1975164 51.2108863)
unknown,1,51.1972178,3.2140093,Brugge,West Flanders,Flanders,POINT (3.2140093 51.1972178)
unknown,NA,51.3360466,3.2073606,Zeebrugge,West Flanders,Flanders,POINT (3.2073606 51.3360466)
unknown,1,51.216221,3.2118633,Brugge,West Flanders,Flanders,POINT (3.2118633 51.216221)
unknown,NA,51.2049128,3.2182644,Brugge,West Flanders,Flanders,POINT (3.2182644 51.2049128)
unknown,NA,51.1986175,3.2282011,Brugge,West Flanders,Flanders,POINT (3.2282011 51.1986175)
unknown,NA,51.1987595,3.2195173,Brugge,West Flanders,Flanders,POINT (3.2195173 51.1987595)
unknown,1,51.1849389,3.207812,Sint-Michiels,West Flanders,Flanders,POINT (3.207812 51.1849389)
unknown,1,51.194384,3.199584,Brugge,West Flanders,Flanders,POINT (3.199584 51.194384)
unknown,1,51.1830006,3.2047168,Sint-Michiels,West Flanders,Flanders,POINT (3.2047168 51.1830006)
unknown,NA,51.2161515,3.2129677,Brugge,West Flanders,Flanders,POINT (3.2129677 51.2161515)
unknown,NA,51.2000503,3.1910059,Brugge,West Flanders,Flanders,POINT (3.1910059 51.2000503)
unknown,NA,51.2508351,3.2013237,Brugge,West Flanders,Flanders,POINT (3.2013237 51.2508351)
unknown,NA,51.2085376,3.2643484,Brugge,West Flanders,Flanders,POINT (3.2643484 51.2085376)
unknown,NA,51.1965836,3.2193243,Brugge,West Flanders,Flanders,POINT (3.2193243 51.1965836)
unknown,NA,51.2022534,3.2266272,Brugge,West Flanders,Flanders,POINT (3.2266272 51.2022534)
unknown,NA,51.1970482,3.2191302,BRUGGE,West Flanders,Flanders,POINT (3.2191302 51.1970482)
unknown,NA,51.2014551,3.2273924,BRUGGE,West Flanders,Flanders,POINT (3.2273924 51.2014551)
unknown,NA,51.2054406,3.2290026,Brugge,West Flanders,Flanders,POINT (3.2290026 51.2054406)
unknown,NA,51.1849389,3.207812,Sint-Andries,West Flanders,Flanders,POINT (3.207812 51.1849389)
unknown,NA,51.1929733,3.2226794,Brugge,West Flanders,Flanders,POINT (3.2226794 51.1929733)
unknown,NA,51.1929733,3.2226794,Brugge,West Flanders,Flanders,POINT (3.2226794 51.1929733)
unknown,NA,51.2069691,3.2301813,Brugge,West Flanders,Flanders,POINT (3.2301813 51.2069691)
unknown,NA,51.2102354,3.2221463,BRUGGE,West Flanders,Flanders,POINT (3.2221463 51.2102354)
unknown,NA,51.2064655,3.220187,BRUGGE,West Flanders,Flanders,POINT (3.220187 51.2064655)
unknown,NA,51.2170831,3.2128501,Brugge,West Flanders,Flanders,POINT (3.2128501 51.2170831)
unknown,NA,51.348858,3.1771664,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.1771664 51.348858)
unknown,NA,51.3196595,3.2197755,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.2197755 51.3196595)
unknown,NA,51.1914069,3.1963984,Sint-Andries,West Flanders,Flanders,POINT (3.1963984 51.1914069)
unknown,NA,51.1799648,3.2018542,Brugge,West Flanders,Flanders,POINT (3.2018542 51.1799648)
unknown,NA,51.2125731,3.1971775,Sint-Andries,West Flanders,Flanders,POINT (3.1971775 51.2125731)
unknown,1,51.2003622,3.1940702,Brugge,West Flanders,Flanders,POINT (3.1940702 51.2003622)
unknown,NA,51.2289113,3.2147738,Brugge,West Flanders,Flanders,POINT (3.2147738 51.2289113)
unknown,NA,51.2061756,3.242392,Assebroek,West Flanders,Flanders,POINT (3.242392 51.2061756)
unknown,NA,51.2061756,3.242392,Assebroek,West Flanders,Flanders,POINT (3.242392 51.2061756)
unknown,NA,51.3288806,3.1787508,Zeebrugge,West Flanders,Flanders,POINT (3.1787508 51.3288806)
unknown,NA,51.3350237,3.2185274,ZeebruggeBrugge,West Flanders,Flanders,POINT (3.2185274 51.3350237)
unknown,NA,51.1981995,3.185603,Sint-Andries,West Flanders,Flanders,POINT (3.185603 51.1981995)
unknown,NA,51.2080055,3.2238476,Brugge,West Flanders,Flanders,POINT (3.2238476 51.2080055)
unknown,NA,51.3360466,3.2073606,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.2073606 51.3360466)
unknown,NA,51.3360466,3.2073606,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.2073606 51.3360466)
unknown,NA,51.2098877,3.2567755,Sint-KruisBrugge,West Flanders,Flanders,POINT (3.2567755 51.2098877)
unknown,NA,51.2566313,3.1951037,Brugge,West Flanders,Flanders,POINT (3.1951037 51.2566313)
unknown,NA,51.2092334,3.2249901,Brugge,West Flanders,Flanders,POINT (3.2249901 51.2092334)
unknown,NA,51.2009429,3.2254061,Brugge,West Flanders,Flanders,POINT (3.2254061 51.2009429)
unknown,NA,51.2023196,3.2638945,Assebroek,West Flanders,Flanders,POINT (3.2638945 51.2023196)
unknown,NA,51.1966658,3.219628,Brugge,West Flanders,Flanders,POINT (3.219628 51.1966658)
unknown,NA,51.2028232,3.1901172,Sint-Andries,West Flanders,Flanders,POINT (3.1901172 51.2028232)
unknown,NA,51.1901673,3.2000633,Brugge,West Flanders,Flanders,POINT (3.2000633 51.1901673)
unknown,NA,51.2058768,3.2257989,Brugge,West Flanders,Flanders,POINT (3.2257989 51.2058768)
