type,latitude,longitude,city,province,region,geometry
ambulance,50.9072587,4.3923288,Bruxelles,Brussels,Brussels,POINT (4.3923288 50.9072587)
ambulance,50.8155259,4.3416631,Forest,Brussels,Brussels,POINT (4.3416631 50.8155259)
ambulance,50.8324872,4.3115682,Anderlecht,Brussels,Brussels,POINT (4.3115682 50.8324872)
ambulance,50.8508852,4.3643289,Bruxelles,Brussels,Brussels,POINT (4.3643289 50.8508852)
ambulance,50.818885,4.40286,Elsene,Brussels,Brussels,POINT (4.40286 50.818885)
ambulance,50.8674778,4.3773347,Schaerbeek,Brussels,Brussels,POINT (4.3773347 50.8674778)
ambulance,50.7832343,4.3559251,Ukkel,Brussels,Brussels,POINT (4.3559251 50.7832343)
ambulance,50.8357176,4.3475625,Bruxelles,Brussels,Brussels,POINT (4.3475625 50.8357176)
ambulance,50.8519005,4.4603541,Woluwe-Saint-Lambert,Brussels,Brussels,POINT (4.4603541 50.8519005)
ambulance,50.805155,4.3685449,Uccle,Brussels,Brussels,POINT (4.3685449 50.805155)
ambulance,50.8423838,4.3993125,Etterbeek,Brussels,Brussels,POINT (4.3993125 50.8423838)
ambulance,50.8907283,4.3080703,Jette,Brussels,Brussels,POINT (4.3080703 50.8907283)
ambulance,50.8594819,4.3521899,Bruxelles,Brussels,Brussels,POINT (4.3521899 50.8594819)
pit,50.8305816,4.3899848,Etterbeek,Brussels,Brussels,POINT (4.3899848 50.8305816)
pit,50.8343389,4.3471366,Bruxelles,Brussels,Brussels,POINT (4.3471366 50.8343389)
pit,50.8878137,4.308604,Jette,Brussels,Brussels,POINT (4.308604 50.8878137)
mug,50.8712722,4.3866584,Schaerbeek,Brussels,Brussels,POINT (4.3866584 50.8712722)
mug,50.8135115,4.2658168,Anderlecht,Brussels,Brussels,POINT (4.2658168 50.8135115)
mug,50.8343389,4.3471366,Bruxelles,Brussels,Brussels,POINT (4.3471366 50.8343389)
mug,50.8526308,4.4523835,Woluwe-Saint-Lambert,Brussels,Brussels,POINT (4.4523835 50.8526308)
mug,50.8050334,4.3686235,Uccle,Brussels,Brussels,POINT (4.3686235 50.8050334)
mug,50.8878137,4.308604,Jette,Brussels,Brussels,POINT (4.308604 50.8878137)
mug,50.8543172,4.3603786,Bruxelles,Brussels,Brussels,POINT (4.3603786 50.8543172)
mug,50.8162718,4.3999005,Auderghem,Brussels,Brussels,POINT (4.3999005 50.8162718)
mug,50.8251858,4.3787626,Ixelles,Brussels,Brussels,POINT (4.3787626 50.8251858)
