type,latitude,longitude,city,province,region,geometry
ambulance,51.0356587,3.7553518,Gent,East Flanders,Flanders,POINT (3.7553518 51.0356587)
ambulance,51.0685818,3.7107182,Gent,East Flanders,Flanders,POINT (3.7107182 51.0685818)
ambulance,51.0492296,3.7002086,Gent,East Flanders,Flanders,POINT (3.7002086 51.0492296)
ambulance,51.0242346,3.7026408,Gent,East Flanders,Flanders,POINT (3.7026408 51.0242346)
ambulance,51.0618537,3.7215097,Gent,East Flanders,Flanders,POINT (3.7215097 51.0618537)
ambulance,51.0237443,3.7313248,PFJ+FG Ghent,East Flanders,Flanders,POINT (3.7313248 51.0237443)
pit,51.0618304,3.721311,Gent,West Flanders,Flanders,POINT (3.721311 51.0618304)
mug,51.0243683,3.7261567,Gent,East Flanders,Flanders,POINT (3.7261567 51.0243683)
mug,51.0618304,3.721311,Gent,East Flanders,Flanders,POINT (3.721311 51.0618304)
mug,51.0492268,3.7002027,Gent,East Flanders,Flanders,POINT (3.7002027 51.0492268)
