type,public,latitude,longitude,city,province,region,geometry
unknown,NA,50.8476423,4.737563,Leuven,Flemish Brabant,Flanders,POINT (4.737563 50.8476423)
unknown,NA,50.8476423,4.737563,Leuven,Flemish Brabant,Flanders,POINT (4.737563 50.8476423)
unknown,NA,50.8919154,4.7058934,Wilsele,Flemish Brabant,Flanders,POINT (4.7058934 50.8919154)
unknown,0,50.8936461,4.7186837,Kessel-Lo,Flemish Brabant,Flanders,POINT (4.7186837 50.8936461)
unknown,NA,50.869499,4.6931907,Heverlee,Flemish Brabant,Flanders,POINT (4.6931907 50.869499)
unknown,1,50.8743307,4.7017286,Leuven,Flemish Brabant,Flanders,POINT (4.7017286 50.8743307)
unknown,NA,50.8670637,4.7127525,Leuven,Flemish Brabant,Flanders,POINT (4.7127525 50.8670637)
unknown,NA,50.8778935,4.6823848,Leuven,Flemish Brabant,Flanders,POINT (4.6823848 50.8778935)
unknown,1,50.8713027,4.6964705,Leuven,Flemish Brabant,Flanders,POINT (4.6964705 50.8713027)
unknown,NA,50.867102,4.7127446,Leuven,Flemish Brabant,Flanders,POINT (4.7127446 50.867102)
unknown,1,50.8769717,4.7168358,Leuven,Flemish Brabant,Flanders,POINT (4.7168358 50.8769717)
unknown,1,50.8822891,4.7014411,Leuven,Flemish Brabant,Flanders,POINT (4.7014411 50.8822891)
unknown,1,50.8958652,4.7062523,Leuven,Flemish Brabant,Flanders,POINT (4.7062523 50.8958652)
unknown,NA,50.8813682,4.7156895,Leuven,Flemish Brabant,Flanders,POINT (4.7156895 50.8813682)
unknown,NA,50.8511236,4.7330828,Leuven,Flemish Brabant,Flanders,POINT (4.7330828 50.8511236)
unknown,NA,50.8823756,4.7344457,Kessel-Lo,Flemish Brabant,Flanders,POINT (4.7344457 50.8823756)
unknown,NA,50.9281215,4.7240203,Wilsele,Flemish Brabant,Flanders,POINT (4.7240203 50.9281215)
unknown,NA,50.8705595,4.6916883,Heverlee,Flemish Brabant,Flanders,POINT (4.6916883 50.8705595)
unknown,NA,50.8644573,4.7458358,Korbeek-Lo,Flemish Brabant,Flanders,POINT (4.7458358 50.8644573)
unknown,NA,50.8470645,4.6958571,Heverlee,Flemish Brabant,Flanders,POINT (4.6958571 50.8470645)
unknown,NA,50.8558984,4.7027407,HEVERLEE,Flemish Brabant,Flanders,POINT (4.7027407 50.8558984)
unknown,NA,50.867677,4.7116128,Leuven,Flemish Brabant,Flanders,POINT (4.7116128 50.867677)
unknown,NA,50.8839064,4.6809627,Leuven,Flemish Brabant,Flanders,POINT (4.6809627 50.8839064)
unknown,NA,50.8858827,4.7106457,Leuven,Flemish Brabant,Flanders,POINT (4.7106457 50.8858827)
unknown,NA,50.8841416,4.7146301,Leuven,Flemish Brabant,Flanders,POINT (4.7146301 50.8841416)
unknown,NA,50.8786396,4.7120778,Leuven,Flemish Brabant,Flanders,POINT (4.7120778 50.8786396)
unknown,NA,50.874393,4.7152536,Leuven,Flemish Brabant,Flanders,POINT (4.7152536 50.874393)
unknown,NA,50.8933532,4.7075612,Leuven,Flemish Brabant,Flanders,POINT (4.7075612 50.8933532)
