type,public,latitude,longitude,city,province,region,geometry
unknown,NA,50.6456222,5.5736201,Liège,Liege,Wallonia,POINT (5.5736201 50.6456222)
unknown,NA,50.6468058,5.5710309,Liège,Liege,Wallonia,POINT (5.5710309 50.6468058)
unknown,NA,50.6380181,5.5739754,Liège,Liege,Wallonia,POINT (5.5739754 50.6380181)
unknown,NA,50.6434982,5.583673,Liège,Liege,Wallonia,POINT (5.583673 50.6434982)
unknown,NA,50.6434288,5.5718235,Liège,Liege,Wallonia,POINT (5.5718235 50.6434288)
unknown,NA,50.6372426,5.5674514,Liège,Liege,Wallonia,POINT (5.5674514 50.6372426)
unknown,NA,50.6472929,5.5760923,Liège,Liege,Wallonia,POINT (5.5760923 50.6472929)
unknown,NA,50.638932,5.5753171,Liège,Liege,Wallonia,POINT (5.5753171 50.638932)
unknown,NA,50.6715508,5.6402438,Herstal,Liege,Wallonia,POINT (5.6402438 50.6715508)
unknown,NA,50.6578138,5.4934921,Bierset,Liege,Wallonia,POINT (5.4934921 50.6578138)
unknown,NA,50.6529901,5.5584547,Liège,Liege,Wallonia,POINT (5.5584547 50.6529901)
unknown,NA,50.6129686,5.5076623,Seraing,Liege,Wallonia,POINT (5.5076623 50.6129686)
unknown,NA,50.6108128,5.5101301,Seraing,Liege,Wallonia,POINT (5.5101301 50.6108128)
unknown,NA,50.6415737,5.5823234,Liège,Liege,Wallonia,POINT (5.5823234 50.6415737)
unknown,NA,50.6329586,5.5697498,Liège,Liege,Wallonia,POINT (5.5697498 50.6329586)
unknown,NA,50.6198974,5.5155782,Jemeppe-sur-Meuse,Liege,Wallonia,POINT (5.5155782 50.6198974)
unknown,NA,50.6716874,5.6393763,Herstal,Liege,Wallonia,POINT (5.6393763 50.6716874)
unknown,NA,50.5796811,5.5544058,Liège,Liege,Wallonia,POINT (5.5544058 50.5796811)
unknown,NA,50.6216,5.61074,Grivegnée,Liege,Wallonia,POINT (5.61074 50.6216)
unknown,NA,50.5775669,5.5675835,Liège,Liege,Wallonia,POINT (5.5675835 50.5775669)
unknown,NA,50.578128,5.5498185,Angleur,Liege,Wallonia,POINT (5.5498185 50.578128)
unknown,NA,50.6442933,5.571984,Liège,Liege,Wallonia,POINT (5.571984 50.6442933)
unknown,NA,50.6350757,5.5628874,Liège,Liege,Wallonia,POINT (5.5628874 50.6350757)
unknown,NA,50.6679122,5.5278677,Alleur,Liege,Wallonia,POINT (5.5278677 50.6679122)
