type,latitude,longitude,city,province,region,geometry
ambulance,50.6372979,5.5669785,Liège,Liege,Wallonia,POINT (5.5669785 50.6372979)
ambulance,50.5894263,5.5428587,Seraing,Liege,Wallonia,POINT (5.5428587 50.5894263)
ambulance,50.6550814,5.5293122,Ans,Liege,Wallonia,POINT (5.5293122 50.6550814)
ambulance,50.6445312,5.5869718,Liège,Liege,Wallonia,POINT (5.5869718 50.6445312)
ambulance,50.6454281,5.4775191,Grâce-Hollogne,Liege,Wallonia,POINT (5.4775191 50.6454281)
ambulance,50.6204355,5.6013855,Liège,Liege,Wallonia,POINT (5.6013855 50.6204355)
ambulance,50.6748034,5.6336647,Herstal,Liege,Wallonia,POINT (5.6336647 50.6748034)
ambulance,50.6528879,5.5783562,Liège,Liege,Wallonia,POINT (5.5783562 50.6528879)
ambulance,50.6225226,5.6363809,Liège,Liege,Wallonia,POINT (5.6363809 50.6225226)
pit,50.6747785,5.6334453,Herstal,Liege,Wallonia,POINT (5.6334453 50.6747785)
pit,50.6519752,5.5769394,Liège,Liege,Wallonia,POINT (5.5769394 50.6519752)
mug,50.6519752,5.5769394,Liège,Liege,Wallonia,POINT (5.5769394 50.6519752)
mug,50.6225196,5.6369787,Liège,Liege,Wallonia,POINT (5.6369787 50.6225196)
mug,50.5808041,5.4936414,Seraing,Liege,Wallonia,POINT (5.4936414 50.5808041)
mug,50.6477958,5.5344905,Luik,Liege,Wallonia,POINT (5.5344905 50.6477958)
