type,public,latitude,longitude,city,province,region,geometry
unknown,NA,51.2263459,2.9053408,Oostende,West Flanders,Flanders,POINT (2.9053408 51.2263459)
unknown,NA,51.2176478,2.8882336,Oostende,West Flanders,Flanders,POINT (2.8882336 51.2176478)
unknown,NA,51.2315759,2.9126867,Oostende,West Flanders,Flanders,POINT (2.9126867 51.2315759)
unknown,NA,51.2174926,2.8878064,Oostende,West Flanders,Flanders,POINT (2.8878064 51.2174926)
unknown,NA,51.2052777,2.8712915,Oostende,West Flanders,Flanders,POINT (2.8712915 51.2052777)
unknown,NA,51.2298687,2.9126798,OOSTENDE,West Flanders,Flanders,POINT (2.9126798 51.2298687)
unknown,1,51.2310871,2.9209364,Oostende,West Flanders,Flanders,POINT (2.9209364 51.2310871)
unknown,NA,51.205197,2.9818957,Oostende,West Flanders,Flanders,POINT (2.9818957 51.205197)
unknown,NA,51.2252539,2.9106595,Oostende,West Flanders,Flanders,POINT (2.9106595 51.2252539)
unknown,NA,51.2264653,2.9158862,Oostende,West Flanders,Flanders,POINT (2.9158862 51.2264653)
unknown,NA,51.2115378,2.9381123,Oostende,West Flanders,Flanders,POINT (2.9381123 51.2115378)
unknown,NA,51.208418,2.9598809,Oostende,West Flanders,Flanders,POINT (2.9598809 51.208418)
unknown,NA,51.208418,2.9598809,Oostende,West Flanders,Flanders,POINT (2.9598809 51.208418)
unknown,NA,51.208418,2.9598809,Oostende,West Flanders,Flanders,POINT (2.9598809 51.208418)
unknown,NA,51.2100496,2.950128,Oostende,West Flanders,Flanders,POINT (2.950128 51.2100496)
unknown,NA,51.2100496,2.950128,Oostende,West Flanders,Flanders,POINT (2.950128 51.2100496)
unknown,NA,51.2100496,2.950128,Oostende,West Flanders,Flanders,POINT (2.950128 51.2100496)
unknown,NA,51.2100496,2.950128,Oostende,West Flanders,Flanders,POINT (2.950128 51.2100496)
unknown,NA,51.2100496,2.950128,Oostende,West Flanders,Flanders,POINT (2.950128 51.2100496)
unknown,NA,51.2121955,2.937989,Oostende,West Flanders,Flanders,POINT (2.937989 51.2121955)
unknown,NA,51.2141051,2.9111217,Oostende,West Flanders,Flanders,POINT (2.9111217 51.2141051)
unknown,NA,51.223581,2.8968383,Oostende,West Flanders,Flanders,POINT (2.8968383 51.223581)
