"type","public","latitude","longitude","city","province","region"
"unknown",1,50.5767646,4.0655019,"SOIGNIES","Hainaut","Wallonia"
"unknown",NA,50.6105697,5.7397828,"Ayeneux","Liege","Wallonia"
"unknown",NA,50.6456222,5.5736201,"Liège","Liege","Wallonia"
"unknown",NA,50.2874163,5.7863246,"Lierneux","Liege","Wallonia"
"unknown",NA,50.6468058,5.5710309,"Liège","Liege","Wallonia"
"unknown",NA,50.6380181,5.5739754,"Liège","Liege","Wallonia"
"unknown",NA,50.4411102,5.6658992,"Harzé","Liege","Wallonia"
"unknown",NA,50.5772875,5.3231573,"Jehay","Liege","Wallonia"
"unknown",NA,50.6434982,5.583673,"Liège","Liege","Wallonia"
"unknown",NA,50.6434288,5.5718235,"Liège","Liege","Wallonia"
"unknown",NA,50.6372426,5.5674514,"Liège","Liege","Wallonia"
"unknown",NA,50.8428222,4.3843075,"Brussel","Brussels","Brussels"
"unknown",NA,51.1967334,4.4294545,"Berchem","Antwerp","Flanders"
"unknown",1,50.8068221,4.9373925,"TIENEN","Flemish Brabant","Flanders"
"unknown",NA,50.8830175,4.3331515,"Brussel","Brussels","Brussels"
"unknown",NA,50.8802534,4.3250605,"Brussel","Brussels","Brussels"
"unknown",NA,50.8747739,4.3314996,"Brussel","Brussels","Brussels"
"unknown",0,49.6735536,5.8204624,"ARLON","Luxembourg","Wallonia"
"unknown",NA,50.832142,4.3274689,"Brussel","Brussels","Brussels"
"unknown",1,51.2433477,4.3253167,"ZWIJNDRECHT","Antwerp","Flanders"
"unknown",NA,50.8812562,4.4422935,"MachelenBt)","Flemish Brabant","Flanders"
"unknown",1,50.7594861,5.7597806,"Voeren  s Gravenvoeren","Limburg","Flanders"
"unknown",NA,50.7311732,5.8809444,"Remersdaal","Limburg","Flanders"
"unknown",1,50.7379722,5.8232275,"Sint-Pieters-Voeren","Limburg","Flanders"
"unknown",1,50.7567574,5.7104343,"Moelingen","Limburg","Flanders"
"unknown",1,50.7518324,5.8759546,"Teuven","Limburg","Flanders"
"unknown",1,50.7494078,5.8125437,"VOEREN","Limburg","Flanders"
"unknown",1,50.7324848,4.2349129,"Halle","Flemish Brabant","Flanders"
"unknown",0,50.9777421,5.4718846,"Genk","Limburg","Flanders"
"unknown",NA,50.8407211,4.4634331,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6472929,5.5760923,"Liège","Liege","Wallonia"
"unknown",NA,50.638932,5.5753171,"Liège","Liege","Wallonia"
"unknown",NA,50.6715508,5.6402438,"Herstal","Liege","Wallonia"
"unknown",NA,50.6578138,5.4934921,"Bierset","Liege","Wallonia"
"unknown",NA,50.6230144,5.7117557,"Micheroux","Liege","Wallonia"
"unknown",NA,50.6529901,5.5584547,"Liège","Liege","Wallonia"
"unknown",NA,50.6129686,5.5076623,"Seraing","Liege","Wallonia"
"unknown",NA,50.6108128,5.5101301,"Seraing","Liege","Wallonia"
"unknown",NA,50.7081855,5.3922429,"Crisnée","Liege","Wallonia"
"unknown",NA,50.6415737,5.5823234,"Liège","Liege","Wallonia"
"unknown",NA,50.6862322,5.2531452,"Waremme","Liege","Wallonia"
"unknown",NA,50.692579,5.245361,"Waremme","Liege","Wallonia"
"unknown",NA,50.5230569,5.2363117,"Huy","Liege","Wallonia"
"unknown",NA,50.5217995,5.2417309,"Huy","Liege","Wallonia"
"unknown",NA,50.6863168,5.7220189,"Liège","Liege","Wallonia"
"unknown",NA,50.5894863,5.8539443,"Verviers","Liege","Wallonia"
"unknown",NA,50.6329586,5.5697498,"Liège","Liege","Wallonia"
"unknown",NA,50.4893888,5.790589,"La Reid","Liege","Wallonia"
"unknown",NA,50.4934169,6.0995656,"Robertville","Liege","Wallonia"
"unknown",NA,50.5980257,5.4652741,NA,"Liege","Wallonia"
"unknown",NA,50.6198974,5.5155782,"Jemeppe-sur-Meuse","Liege","Wallonia"
"unknown",NA,50.6716874,5.6393763,"Herstal","Liege","Wallonia"
"unknown",NA,50.39379,5.54955,"Vieuxville","Liege","Wallonia"
"unknown",NA,50.8892246,4.4591702,"Zaventem","Flemish Brabant","Flanders"
"mobile",NA,51.227416,4.4043543,"Antwerpen","Antwerp","Flanders"
"unknown",1,51.0627368,4.5223492,"Sint-Katelijne-Waver","Antwerp","Flanders"
"unknown",NA,51.2263459,2.9053408,"Oostende","West Flanders","Flanders"
"unknown",NA,51.2176478,2.8882336,"Oostende","West Flanders","Flanders"
"unknown",NA,51.2315759,2.9126867,"Oostende","West Flanders","Flanders"
"unknown",NA,51.2174926,2.8878064,"Oostende","West Flanders","Flanders"
"unknown",NA,50.8418101,4.3856343,"Brussel","Brussels","Brussels"
"unknown",NA,51.0102471,3.7021131,"Gent","East Flanders","Flanders"
